bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,muridae,rat,Rattus norvegicus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,muskrat,Ondatra zibethicus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,myocastoridae,nutria,Myocastor coypus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,octodontidae,degu,Octodon degus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,sciuridae,marmot,Marmota marmota
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,sciuridae,prairie dog,Cynomys ludovicianus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,sciuridae,squirrel,Sciurus vulgaris
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,rodentia,sciuridae,woodchuck,Marmota monax
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,sirenia,dugong,Dugong dugon
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,theria,eutheria,talpidae,mole,Talpa europaea
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,mammalia,prototheria,monotremata,ornithorhynchidae,ornithorhynchus,platypus,Ornithorhynchus anatinus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,reptilia,crocodilia,alligator,Alligator mississippiensis
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,reptilia,crocodilia,crocodile,Crocodylus niloticus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,reptilia,squamata,chameleon,Chamaeleo chamaeleon
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,reptilia,squamata,gecko,Gekko gecko
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,reptilia,squamata,iguana,Iguana iguana
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,reptilia,squamata,komodo dragon,Varanus komodoensis
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,reptilia,squamata,lizard,Lacerta agilis
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,reptilia,squamata,snake,Natrix natrix
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,reptilia,testudines,sea turtle,Chelonia mydas
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amniota,reptilia,testudines,turtle,Chelonia mydas
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amphibia,anura,bufonidae,toad,Bufo bufo
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amphibia,anura,dendrobatidae,poison dart frog,Dendrobates tinctorius
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amphibia,anura,hylidae,gray tree frog,Hyla versicolor
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amphibia,anura,hylidae,red-eyed tree frog,Agalychnis callidryas
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amphibia,anura,hylidae,spring peeper,Pseudacris crucifer
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amphibia,anura,hylidae,tree frog,Hyla arborea
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amphibia,anura,hylidae,white's tree frog,Litoria caerulea
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amphibia,anura,ranidae,bullfrog,Lithobates catesbeianus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amphibia,anura,ranidae,frog,Rana temporaria
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amphibia,urodela,axolotl,Ambystoma mexicanum
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amphibia,urodela,newt,Triturus cristatus
bilateria,deuterostomia,chordata,vertebrata,tetrapoda,amphibia,urodela,salamander,Salamandra salamandra
bilateria,deuterostomia,echinodermata,sea cucumber,Holothuria scabra
bilateria,deuterostomia,echinodermata,sea urchin,Strongylocentrotus purpuratus
bilateria,deuterostomia,echinodermata,starfish,Asterias rubens
bilateria,protostomia,ecdysozoa,arthropoda,chelicerata,arachnida,scorpion,Centruroides sculpturatus
bilateria,protostomia,ecdysozoa,arthropoda,chelicerata,arachnida,spider,Parasteatoda tepidariorum
bilateria,protostomia,ecdysozoa,arthropoda,crustacea,crab,Carcinus maenas
bilateria,protostomia,ecdysozoa,arthropoda,crustacea,lobster,Homarus americanus
bilateria,protostomia,ecdysozoa,arthropoda,crustacea,shrimp,Penaeus monodon
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,coleoptera,beetle,Tribolium castaneum
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,diptera,fly,Drosophila melanogaster
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,diptera,mosquito,Aedes aegypti
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,hemiptera,cicadellidae,leafhopper,Nephotettix cincticeps
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,hemiptera,cicadidae,cicada,Magicicada septendecim
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,hemiptera,pentatomidae,shield bug,Palomena prasina
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,hemiptera,pentatomidae,stink bug,Halyomorpha halys
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,hemiptera,sternorrhyncha,aphid,Acyrthosiphon pisum
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,hymenoptera,ant,Lasius niger
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,hymenoptera,bee,Apis mellifera
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,hymenoptera,wasp,Vespula vulgaris
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,isoptera,termite,Macrotermes bellicosus
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,lepidoptera,butterfly,Danaus plexippus
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,lepidoptera,moth,Bombyx mori
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,mantodea,mantis,Mantis religiosa
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,odonata,dragonfly,Libellula quadrimaculata
bilateria,protostomia,ecdysozoa,arthropoda,insecta,pterygota,orthoptera,grasshopper,Schistocerca gregaria
bilateria,protostomia,ecdysozoa,nematoda,roundworm,Caenorhabditis elegans
bilateria,protostomia,ecdysozoa,tardigrada,tardigrade,Hypsibius exemplaris
